CODIGO CIUDAD ORIGEN;Ciudad Origen;ZONA DESTINO;Pais Destino;CODIGO CIUDAD DESTINO ;Ciudad Destino;TIPO DE TRAYECTO;FLETE X UNID DE PESO ;TIEMPO DE ENTREGA;TRAYECTO EQUIVALENTE. SI NO POSEE, COLOQUE EL MISMO TIPO DE TRAYECTO;REGIONAL ORIGEN;CODIGO DANE REGIONAL ORIGEN
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;0;CORDOBA(VALLE DEL CAUCA);ZONAL;2000;3;ZONAL;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;19212000;CORINTO(CAUCA);OTROS DESTINOS;3041;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;0;CORNEJO(NORTE DE SANTANDER);ZONAL;2965;3;ZONAL;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;0;CORONADO(VALLE DEL CAUCA);NACIONAL;2528;3;NACIONAL;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;70215000;COROZAL(SUCRE);REGIONAL;1038;2;REGIONAL;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;15215000;CORRALES(BOYACA);OTROS DESTINOS;3406;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;0;COSCUEZ(BOYACA);ZONAL;3467;3;ZONAL;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;0;COSTA RICA(VALLE DEL CAUCA);OTROS DESTINOS;3041;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;25214000;COTA(SIBERIA)(CUNDINAMARCA);NACIONAL;1791;3;NACIONAL;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;23300000;COTORRA(CORDOBA);OTROS DESTINOS;2563;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;15218000;COVARACHIA(BOYACA);OTROS DESTINOS;2942;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;70221000;COVENAS(SUCRE);ZONAL;2081;3;ZONAL;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;73217000;COYAIMA(TOLIMA);OTROS DESTINOS;3112;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;0;CRUZ DEL VIZO(BOLIVAR);OTROS DESTINOS;2405;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;52224000X;CUASPUD(CARLOSAMA)(NARINO);ZONAL;4996;3;ZONAL;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;0;CUASPUD NUCLEO(NARINO);OTROS DESTINOS;2942;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;15223000;CUBARA(BOYACA);OTROS DESTINOS;2874;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;50223000;CUBARRAL(META);OTROS DESTINOS;2874;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;15224000;CUCAITA(BOYACA);OTROS DESTINOS;2900;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;25224000;CUCUNUBA(CUNDINAMARCA);NACIONAL;3683;3;NACIONAL;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;54001000;CUCUTA(NORTE DE SANTANDER);NACIONAL;2362;3;NACIONAL;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;54223000;CUCUTILLA(NORTE DE SANTANDER);OTROS DESTINOS;2769;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;0;CUESTECITAS(GUAJIRA);OTROS DESTINOS;2757;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;15226000;CUITIVA(BOYACA);OTROS DESTINOS;3406;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;50226000;CUMARAL(META);OTROS DESTINOS;2769;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;52227000;CUMBAL(NARINO);OTROS DESTINOS;3112;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;52233000;CUMBITARA(NARINO);OTROS DESTINOS;2942;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;73226000;CUNDAY(TOLIMA);OTROS DESTINOS;2874;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;18205000;CURILLO(CAQUETA);OTROS DESTINOS;3112;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;68229000;CURITI(SANTANDER);OTROS DESTINOS;2757;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;5837001;CURRULAO(ANTIOQUIA);OTROS DESTINOS;2757;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;20228000;CURUMANI(CESAR);OTROS DESTINOS;3112;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;5234000;DABEIBA(ANTIOQUIA);OTROS DESTINOS;2863;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;76233000;DAGUA(VALLE DEL CAUCA);OTROS DESTINOS;3041;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;0;DAPA(VALLE DEL CAUCA);NACIONAL;2528;3;NACIONAL;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;0;DARIEN(VALLE DEL CAUCA);OTROS DESTINOS;2874;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;0;DIBULLA(GUAJIRA);ZONAL;2704;3;ZONAL;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;0;DINAMARCA(META);OTROS DESTINOS;3320;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;0;DISTRACCION(GUAJIRA);OTROS DESTINOS;2467;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;73236000;DOLORES(TOLIMA);OTROS DESTINOS;3112;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;0;DON MATIAS(ANTIOQUIA);OTROS DESTINOS;2757;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;5591004;DORADAL(ANTIOQUIA);OTROS DESTINOS;2829;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;66170000;DOSQUEBRADAS(RISARALDA);NACIONAL;1748;3;NACIONAL;;
